Test,Mean,Deviation,Count
ScaleVector2D,69.0314292907715,0.199240210627266,4194304
ScaleVector3D,56.7401266098022,2.79642111141141,8388608
Multiply2D,47.2837328910828,0.168700201539214,8388608
Multiply3D,48.2134222984314,0.172554145612408,8388608
TranslateVector2D,44.4265842437744,0.109430476474725,8388608
TranslateVector3D,43.1341552734375,0.105483469468252,8388608
SubtractVector2D,59.8371410369873,0.238663371064852,4194304
SubtractVector3D,57.5499987602234,0.0996706811142898,8388608
LengthVector2D,59.0983486175537,0.0996421874446193,8388608
LengthVector3D,57.4785232543945,0.180650324758278,8388608
Dotproduct2D,50.1047587394714,0.109391103822356,8388608
Dotproduct3D,44.1867804527283,0.188314915910177,8388608
Sestoft,57.4868035316467,0.287066500057123,8388608
